Name,Team,Cl,Ht,Pos,Games,GoalieGames,TotalGoals,GoalsPerGame,TotalAssists,AssistsPerGame,TotalPoints,PointsPerGame,GameWinningGoals,ShotAttempts,ShotsPerGame,ShotsOnGoal,ShotsOnGoalPerGame,ShotAccuracyPct,PKGoals,PKAttempts,PKPct,YellowCards,RedCards,TotalSaves,SavesPerGame,SavePct,Shutouts,GoalieMinutes,GoalsAgainst,GAA
Arnau Farnos,Oregon St.,Sr.,5-9,M,17,,15,0.88,10,0.59,40,2.35,5,78,4.59,34,2.00,0.436,3,4,0.750,3,0,,,,,,,
Palmer Ault,Indiana,Sr.,5-10,F,19,,16,0.84,10,0.53,42,2.21,5,61,3.21,31,1.63,0.508,3,4,0.750,0,0,,,,,,,
Edouard Nys,UIC,Jr.,5-8,M,18,,16,0.89,5,,37,2.06,3,99,5.50,49,2.72,0.495,0,2,0.000,0,0,,,,,,,
Junior Diouf,Grand Canyon,Fr.,6-1,F,21,,18,0.86,6,,42,2.00,7,79,3.76,36,1.71,0.456,3,3,1.000,3,1,,,,,,,
Sergi Solans Ormo,UCLA,So.,6-2,F,19,,16,0.84,6,0.32,38,2.00,5,63,3.32,35,1.84,0.556,,,,3,0,,,,,,,
Zach Zengue,Georgetown,Sr.,5-9,M,22,,14,0.64,14,0.64,42,1.91,3,71,3.23,40,1.82,0.563,4,4,1.000,3,0,,,,,,,
Laurie Goddard,Hofstra,Sr.,6-2,M,20,,15,0.75,7,0.35,37,1.85,8,70,3.50,35,1.75,0.500,5,6,0.833,0,0,,,,,,,
Marius Stenner,Delaware,So.,6-0,F,17,,11,0.65,9,0.53,31,1.82,4,57,3.35,26,1.53,0.456,,,,0,0,,,,,,,
Donavan Phillip,NC State,Jr.,6-2,F,22,,19,0.86,2,,40,1.82,5,82,3.73,44,2.00,0.537,,,,0,0,,,,,,,
Yeider Zuluaga,Seattle U,Sr.,5-11,M,13,,9,0.69,5,0.38,23,1.77,,30,2.31,16,1.23,0.533,0,1,0.000,3,0,,,,,,,
Marcus Caldeira,West Virginia,Sr.,6-2,F,21,,14,0.67,7,0.33,35,1.67,6,65,3.10,36,1.71,0.554,1,1,1.000,0,0,,,,,,,
Daniel Lugo,High Point,So.,6-2,F,20,,14,0.70,5,,33,1.65,7,43,2.15,26,1.30,0.605,,,,0,0,,,,,,,
Tim Strele,Saint Peter's,Sr.,6-1,F,15,,12,0.80,0,,24,1.60,4,34,2.27,18,1.20,0.529,3,3,1.000,3,1,,,,,,,
Daniel Burko,Hofstra,Sr.,6-3,F,20,,13,0.65,5,,31,1.55,,61,3.05,38,1.90,0.623,1,1,1.000,0,0,,,,,,,
Patrick Cayelli,Penn,Sr.,5-10,M,17,,9,0.53,8,0.47,26,1.53,,42,2.47,25,1.47,0.595,3,3,1.000,0,0,,,,,,,
Richard Monath,Delaware,Jr.,5-8,M,17,,12,0.71,2,,26,1.53,4,37,2.18,20,1.18,0.541,,,,0,0,,,,,,,
Mitchell Baker,Georgetown,So.,6-4,F,21,,14,0.67,3,,31,1.48,5,79,3.76,43,2.05,0.544,,,,0,1,,,,,,,
Cooper Flax,Wake Forest,Sr.,6-0,M,17,,9,0.53,7,0.41,25,1.47,,,,,,,4,4,1.000,0,1,,,,,,,
Mikey Johnson,Delaware,Sr.,6-2,F,17,,11,0.65,3,,25,1.47,,54,3.18,26,1.53,0.481,1,1,1.000,0,0,,,,,,,
Cooper Forcellini,Xavier,Sr.,6-1,M,15,,10,0.67,2,,22,1.47,,31,,19,1.27,0.613,5,5,1.000,0,0,,,,,,,
Lilian Ricol,UCF,Jr.,6-2,F,21,,13,0.62,4,,30,1.43,4,51,2.43,29,1.38,0.569,,,,4,0,,,,,,,
Shane Anderson,Purdue Fort Wayne,Sr.,5-9,M,17,,9,0.53,6,0.35,24,1.41,3,70,4.12,28,1.65,0.400,0,1,0.000,3,0,,,,,,,
Ransford Gyan,Clemson,So.,5-6,F,17,,8,0.47,8,0.47,24,1.41,,52,3.06,25,1.47,0.481,1,1,1.000,3,0,,,,,,,
Seth Hammond,St. Bonaventure,Sr.,5-7,M,15,,7,0.47,7,0.47,21,1.40,,46,3.07,17,1.13,0.370,,,,0,0,,,,,,,
Lucas Almeida,Siena,Jr.,6-1,F,18,,10,0.56,5,,25,1.39,3,,,21,1.17,,,,,0,0,,,,,,,
