 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/15/2025

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Ht","Pos","Games","Goals","Assists","Points","Per Game"
"1","Arnau Farnos","Oregon St.","Sr.","5-9","M","17","15","10","40","2.35"
"2","Palmer Ault","Indiana","Sr.","5-10","F","19","16","10","42","2.21"
"3","Edouard Nys","UIC","Jr.","5-8","M","18","16","5","37","2.06"
"4","Junior Diouf","Grand Canyon","Fr.","6-1","F","21","18","6","42","2.00"
"","Sergi Solans Ormo","UCLA","So.","6-2","F","19","16","6","38","2.00"
"6","Zach Zengue","Georgetown","Sr.","5-9","M","22","14","14","42","1.91"
"7","Laurie Goddard","Hofstra","Sr.","6-2","M","20","15","7","37","1.85"
"8","Marius Stenner","Delaware","So.","6-0","F","17","11","9","31","1.82"
"9","Donavan Phillip","NC State","Jr.","6-2","F","22","19","2","40","1.82"
"10","Yeider Zuluaga","Seattle U","Sr.","5-11","M","13","9","5","23","1.77"
"11","Marcus Caldeira","West Virginia","Sr.","6-2","F","21","14","7","35","1.67"
"12","Daniel Lugo","High Point","So.","6-2","F","20","14","5","33","1.65"
"13","Tim Strele","Saint Peter's","Sr.","6-1","F","15","12","0","24","1.60"
"14","Daniel Burko","Hofstra","Sr.","6-3","F","20","13","5","31","1.55"
"15","Patrick Cayelli","Penn","Sr.","5-10","M","17","9","8","26","1.53"
"","Richard Monath","Delaware","Jr.","5-8","M","17","12","2","26","1.53"
"17","Mitchell Baker","Georgetown","So.","6-4","F","21","14","3","31","1.48"
"18","Cooper Flax","Wake Forest","Sr.","6-0","M","17","9","7","25","1.47"
"","Mikey Johnson","Delaware","Sr.","6-2","F","17","11","3","25","1.47"
"20","Cooper Forcellini","Xavier","Sr.","6-1","M","15","10","2","22","1.47"
"21","Lilian Ricol","UCF","Jr.","6-2","F","21","13","4","30","1.43"
"22","Shane Anderson","Purdue Fort Wayne","Sr.","5-9","M","17","9","6","24","1.41"
"","Ransford Gyan","Clemson","So.","5-6","F","17","8","8","24","1.41"
"24","Seth Hammond","St. Bonaventure","Sr.","5-7","M","15","7","7","21","1.40"
"25","Lucas Almeida","Siena","Jr.","6-1","F","18","10","5","25","1.39"
"","Mamadou Diarra","Fla. Atlantic","Sr.","5-10","F","18","9","7","25","1.39"
"27","Clarence Awoudor","UCF","Sr.","5-7","FM","21","7","15","29","1.38"
"28","Blake D'Agostino","California Baptist","So.","6-2","F","16","10","2","22","1.38"
"29","Joe Highfield","Portland","So.","6-4","F","20","11","5","27","1.35"
"","Stephan Soghomonian","SMU","So.","5-10","F","20","13","1","27","1.35"
"31","Stefan Dobrijevic","Akron","Sr.","6-2","F","21","8","12","28","1.33"
"32","Nicholas Simmonds","Virginia","Fr.","6-4","F","19","10","5","25","1.32"
"33","Daniel Ittycheria","Princeton","Sr.","6-2","F","16","9","3","21","1.31"
"34","Fabio Bozesan","South Fla.","Sr.","-","F","17","8","6","22","1.29"
"","Trace Terry","Bowling Green","Sr.","6-2","F","17","10","2","22","1.29"
"36","Sean Albritton","Fairfield","Fr.","-","F","14","9","0","18","1.29"
"37","Lewis Rourke","Old Dominion","Jr.","6-2","F","18","10","3","23","1.28"
"38","Diego Hernandez","Furman","Jr.","5-9","M","23","10","9","29","1.26"
"","Charlie Kosakoff","Washington","Jr.","5-11","F","23","11","7","29","1.26"
"40","Angel Iniguez","San Jose St.","Sr.","5-6","M","20","9","7","25","1.25"
"","Arnold Matshazi","San Jose St.","So.","5-9","F","20","12","1","25","1.25"
"","Arnau Rabassa Guillamon","FDU","Sr.","-","M","20","11","3","25","1.25"
"43","Daniel D'Ippolito","Fordham","Sr.","5-11","M","17","6","9","21","1.24"
"","Ricky Louis","Ga. Southern","So.","6-2","F","17","9","3","21","1.24"
"45","Jaime Amaro","Bryant","Fr.","5-7","-","22","10","7","27","1.23"
"46","Samson Kpardeh","Gardner-Webb","So.","5-8","M","18","9","4","22","1.22"
"","Nathan Simes","Wofford","Jr.","6-1","F","18","8","6","22","1.22"
"48","Enzo Dovlo","UNC Greensboro","Jr.","6-0","F","23","10","8","28","1.22"
"49","David Ismail","Vermont","Sr.","6-4","F","19","10","3","23","1.21"
"","Oskar Kaufmann","USC Upstate","So.","6-2","F","19","11","1","23","1.21"
"","Sadam Masereka","Maryland","Sr.","5-9","F","19","9","5","23","1.21"
"52","David Ajagbe","Portland","So.","6-1","F","20","10","4","24","1.20"
"","Brando Bedolla","Longwood","So.","5-9","F","15","6","6","18","1.20"
"","Austin Brummett","UConn","Sr.","6-0","F","20","10","4","24","1.20"
"","Andres Escudero","Evansville","Fr.","6-1","F","20","11","2","24","1.20"
"56","Jeremy Francou","Kansas City","Jr.","6-0","F","21","11","3","25","1.19"
"","Pablo Pozos","West Virginia","Jr.","6-0","F","21","11","3","25","1.19"
"58","Evan Howard","SIUE","Sr.","6-5","F","16","8","3","19","1.19"
"","Drew Pedersen","Gonzaga","Jr.","6-1","F","16","7","5","19","1.19"
"","Fumiya Shiraishi","Missouri St.","Sr.","5-7","F","16","8","3","19","1.19"
"61","Ethan Ballek","South Carolina","Sr.","6-0","M","17","8","4","20","1.18"
"","Johan Nissen-Lie","Bellarmine","So.","6-3","F","17","10","0","20","1.18"
"","David Raphael","San Francisco","So.","5-8","F","17","8","4","20","1.18"
"64","Stephane Njike","Maryland","So.","5-10","F","18","7","7","21","1.17"
"","Ryan Okerayi","Houston Christian","Jr.","6-3","F","18","9","3","21","1.17"
"","Dagur Traustason","Virginia Tech","Fr.","-","F","12","7","0","14","1.17"
"67","Iain Wagner","San Diego","So.","5-9","M","19","9","4","22","1.16"
"68","Nacho Abeal","North Carolina","Sr.","5-8","M","20","7","9","23","1.15"
"69","Kyle McGowan","Denver","Jr.","6-3","F","22","11","3","25","1.14"
"70","Arnaud Tattevin","UNC Greensboro","Jr.","5-10","F","23","12","2","26","1.13"
"71","Kyle Evans","Marist","Jr.","-","M","16","7","4","18","1.13"
"","Philipp Kühn","Vermont","Fr.","6-3","F","16","7","4","18","1.13"
"73","Fran Cortijo","Oregon St.","Sr.","5-11","D","17","7","5","19","1.12"
"","Nathan Richmond","Clemson","Sr.","5-7","M","17","7","5","19","1.12"
"","Taylor Rogers","Utah Tech","So.","5-10","F","17","7","5","19","1.12"
"","Ethan Sassine","Dayton","Sr.","5-10","F","17","8","3","19","1.12"
"","Iann Topete","Purdue Fort Wayne","Sr.","5-11","F","17","8","3","19","1.12"
"","Arnau Vilamitjana","Pittsburgh","Sr.","6-2","M","17","8","3","19","1.12"
"79","Guilherme Gomes","St. John's (NY)","Fr.","6-2","D","18","9","2","20","1.11"
"80","Wilfer Bustamante","Furman","So.","5-8","F","23","8","9","25","1.09"
"81","Theo Klein","Omaha","Sr.","5-11","F","12","6","1","13","1.08"
"","Angel Lopez Martin","Coastal Carolina","Fr.","6-2","F","12","5","3","13","1.08"
"","Sam Montalto","Providence","Sr.","6-3","F","12","5","3","13","1.08"
"84","William Fagerberg","Manhattan","So.","6-0","M","14","7","1","15","1.07"
"","Loed Klaasen","Coastal Carolina","Sr.","6-1","M","14","4","7","15","1.07"
"86","Niv Berkovitz","Santa Clara","Jr.","5-8","M","15","6","4","16","1.07"
"","Johannes Hanken Tjostheim","Boston College","Sr.","6-2","F","15","8","0","16","1.07"
"","Danny Istambouli","Sacred Heart","Jr.","5-9","M","15","6","4","16","1.07"
"89","Martim Sereno","George Mason","So.","5-9","F","16","6","5","17","1.06"
"","Keegan Walker","Green Bay","Jr.","5-9","M","16","6","5","17","1.06"
"91","Alex Ruiz","Kentucky","Sr.","6-0","M","17","7","4","18","1.06"
"","Joschi Schelb","Rutgers","Jr.","6-0","M","17","7","4","18","1.06"
"93","David Garcia Gallego","Sacred Heart","Sr.","5-9","M","18","6","7","19","1.06"
"","Matteo Landais","Lindenwood","Sr.","6-0","M","18","5","9","19","1.06"
"95","Kenan Hot","Duke","Sr.","5-11","M","19","8","4","20","1.05"
"","Finlay Oliver","Stony Brook","Jr.","6-5","F","19","8","4","20","1.05"
"97","Miguel Arilla","Creighton","Jr.","5-8","M","16","6","4","16","1.00"
"","Elias Arsvoll","Charlotte","So.","6-3","F","16","6","4","16","1.00"
"","Martin Bakken","Dayton","Jr.","6-1","M","18","8","2","18","1.00"
"","Eduardo De Oliveira","UTRGV","Jr.","5-10","M","10","5","0","10","1.00"
"","Jakob Friedman","Monmouth","Sr.","5-8","F","16","4","8","16","1.00"
"","Liam Gainey","Western Ill.","Sr.","6-0","F","16","7","2","16","1.00"
"","Tate Lorentz","Wake Forest","Jr.","5-11","FM","17","6","5","17","1.00"
"","Luka Lukic","California","Sr.","6-3","F","18","8","2","18","1.00"
"","Oliver Moller-Jensen","Fla. Atlantic","Jr.","5-9","F","18","6","6","18","1.00"
"","Zach Ramsey","Washington","So.","5-10","M","24","8","8","24","1.00"
"","Sivert Ryssdalsnes","Quinnipiac","So.","-","M","18","7","4","18","1.00"
"","Jacobo Sanfeliu","George Mason","Sr.","6-0","F","16","7","2","16","1.00"
"","Vance Sheffield","NIU","Fr.","6-0","F","17","6","5","17","1.00"
"110","Alessandro Arlotti","Duke","Sr.","6-0","F","20","7","5","19","0.95"
"","Diego Rosas","Portland","Jr.","-","F","20","2","15","19","0.95"
"112","Martin Kozak","Elon","Jr.","5-11","M","19","5","8","18","0.95"
"","Joby Reid","Houston Christian","Fr.","6-0","F","19","6","6","18","0.95"
"114","Steven Ramirez","San Diego","Jr.","5-11","F","18","8","1","17","0.94"
"","Drew Roskos","Bucknell","So.","5-8","F","18","8","1","17","0.94"
"","Emil Seedorff Sorensen","Ga. Southern","Fr.","6-1","M","18","7","3","17","0.94"
"117","Junior Casillas","Mercer","Sr.","6-0","M","17","6","4","16","0.94"
