 


  
  

NCAA Men's Soccer
Division ICorner Kicks Per Game
Through Games 12/15/2025


"Rank","Name","Team Games","W-L","Corners","Per Game"
"1","West Virginia","21","13-5-3","162","7.71"
"2","Duke","20","10-4-6","149","7.45"
"3","Stanford","20","14-4-2","147","7.35"
"4","NC State","23","16-3-4","169","7.35"
"5","La Salle","17","4-5-8","124","7.29"
"6","Akron","21","13-5-3","150","7.14"
"7","Portland","20","14-2-4","139","6.95"
"8","California Baptist","17","10-4-3","117","6.88"
"9","Indiana","19","12-6-1","129","6.79"
"10","Marquette","16","7-7-2","107","6.69"
"11","Western Mich.","22","8-10-4","147","6.68"
"12","Delaware","17","12-2-3","112","6.59"
"13","Washington","24","16-6-2","158","6.58"
"14","Georgetown","22","14-4-4","143","6.50"
"","Dayton","18","8-2-8","117","6.50"
"16","Vermont","20","14-1-5","129","6.45"
"17","Virginia Tech","16","7-4-5","103","6.44"
"18","Kansas City","21","12-4-5","132","6.29"
"19","Charlotte","16","8-4-4","100","6.25"
"","Missouri St.","16","6-6-4","100","6.25"
"21","DePaul","17","2-8-7","106","6.24"
"","Clemson","17","8-6-3","106","6.24"
"23","California","18","8-8-2","112","6.22"
"24","Stetson","17","6-8-3","105","6.18"
"25","Utah Valley","15","8-4-3","92","6.13"
"26","SMU","20","11-5-4","122","6.10"
"27","Marshall","21","12-4-5","128","6.10"
"28","Rutgers","17","8-6-3","103","6.06"
"","Penn St.","17","5-8-4","103","6.06"
"30","UIC","18","10-3-5","109","6.06"
"31","Kentucky","19","10-4-5","113","5.95"
"32","Creighton","16","8-4-4","95","5.94"
"33","Princeton","19","15-2-2","112","5.89"
"34","Tulsa","18","5-9-4","106","5.89"
"35","Northwestern","17","8-6-3","100","5.88"
"36","George Mason","16","7-6-3","94","5.88"
"37","St. Bonaventure","15","3-9-3","88","5.87"
"38","NIU","17","8-5-4","99","5.82"
"39","Bryant","22","17-2-3","128","5.82"
"40","Massachusetts","17","6-5-6","98","5.76"
"41","Cal St. Fullerton","20","8-6-6","115","5.75"
"42","Virginia","19","12-2-5","109","5.74"
"43","Duquesne","16","8-6-2","91","5.69"
"44","UC Santa Barbara","20","7-5-8","113","5.65"
"45","St. John's (NY)","19","9-6-4","107","5.63"
"46","Saint Louis","24","13-3-8","135","5.63"
